,0
399,"8,500"
400,"20,000"
401,"4,000"
402,"8,500"
403,"150,421"
404,"8,500"
405,"1,111"
406,"20,000"
407,"3,000"
408,"5,000"
409,"6,000"
410,"3,000"
411,"3,000"
412,"3,000"
413,"3,000"
414,"3,000"
415,"30,000"
416,"4,000"
417,"4,000"
418,"10,000"
419,"1,234"
420,"40,000"
421,"5,000"
422,"10,001"
423,"50,000"
